application_id,customer_id,branch_id,product_id,application_date,loan_amount_requested,loan_amount_approved,tenure_months,interest_rate,emi_amount,application_status,rejection_reason,risk_category,disbursal_date,loan_status
1,2315,15,1,2025-05-21,785000.0,725000.0,156,8.95,7879.39,Approved,,High,2025-05-24,Active
2,4390,34,4,2023-12-12,2077000.0,1699000.0,140,11.61,22206.13,Approved,,High,2023-12-29,Active
3,1569,52,5,2026-04-14,568000.0,,11,,,Rejected,Existing Default History,,,NA
4,3523,20,6,2026-02-08,902000.0,874000.0,96,11.68,14051.76,Approved,,Medium,2026-02-22,Active
5,716,4,3,2025-01-05,1036000.0,,61,,,Rejected,Insufficient Income,,,NA
6,3484,10,1,2025-11-26,2550000.0,,103,,,Withdrawn,,,,NA
7,1741,46,3,2024-12-23,1202000.0,,72,,,Rejected,Unverifiable Employment,,,NA
8,1087,34,4,2024-03-28,2429000.0,2110000.0,168,9.51,22766.07,Approved,,Low,2024-03-31,Active
9,3996,21,4,2024-12-08,2424000.0,,155,,,Pending,,,,NA
10,3215,24,3,2024-05-12,1366000.0,,20,,,Rejected,Incomplete Documentation,,,NA
11,2989,12,2,2025-06-15,347000.0,318000.0,31,12.63,12075.8,Approved,,Medium,2025-07-06,Active
12,3891,35,1,2024-07-08,1418000.0,,120,,,Rejected,Unverifiable Employment,,,NA
13,360,50,6,2024-09-13,255000.0,,41,,,Rejected,Incomplete Documentation,,,NA
14,5974,40,1,2025-10-20,1454000.0,1352000.0,323,9.84,11940.36,Approved,,Low,2025-10-24,Active
15,2342,13,3,2024-08-05,834000.0,823000.0,71,9.26,15099.05,Approved,,Medium,2024-08-17,Closed
16,5643,47,6,2024-04-08,1104000.0,,63,,,Withdrawn,,,,NA
17,832,51,6,2023-10-11,1690000.0,1382000.0,42,16.49,43528.06,Approved,,Medium,2023-11-01,Active
18,4958,27,4,2026-02-07,848000.0,,149,,,Pending,,,,NA
19,1710,43,6,2024-06-24,299000.0,,92,,,Rejected,Unverifiable Employment,,,NA
20,1758,33,6,2024-03-04,3686000.0,3422000.0,114,15.26,57018.03,Approved,,High,2024-03-24,Active
21,1253,44,5,2025-03-09,210000.0,200000.0,11,10.0,19103.48,Approved,,Medium,2025-03-27,Closed
22,434,50,6,2024-04-01,1021000.0,1000000.0,96,13.28,16964.26,Approved,,Low,2024-04-12,Closed
23,2045,23,1,2026-05-29,3809000.0,2936000.0,301,9.49,25610.45,Approved,,Medium,2026-06-03,Closed
24,3493,48,1,2024-06-12,4785000.0,,299,,,Withdrawn,,,,NA
25,5294,17,2,2026-05-27,1029000.0,,45,,,Rejected,Insufficient Income,,,NA
26,5977,11,5,2023-11-12,105000.0,,29,,,Pending,,,,NA
27,216,55,6,2026-01-23,860000.0,858000.0,85,11.66,14876.23,Approved,,Medium,2026-02-07,Active
28,1672,2,5,2025-03-26,336000.0,261000.0,26,9.54,11151.36,Approved,,High,2025-03-30,Defaulted
29,5832,18,6,2026-05-22,1157000.0,1079000.0,114,12.66,16315.22,Approved,,Medium,2026-05-31,Defaulted
30,2356,2,4,2025-09-15,2071000.0,1836000.0,145,10.95,22884.31,Approved,,Medium,2025-09-23,Active
31,3867,42,3,2025-11-29,1500000.0,,73,,,Withdrawn,,,,NA
32,619,17,2,2025-05-17,861000.0,,58,,,Rejected,Low Credit Score,,,NA
33,5791,38,1,2024-03-16,2238000.0,,346,,,Rejected,Low Credit Score,,,NA
34,1528,17,3,2024-05-26,1059000.0,883000.0,55,9.15,19715.84,Approved,,Low,2024-06-15,Closed
35,32,23,6,2024-07-06,338000.0,,32,,,Rejected,Incomplete Documentation,,,NA
36,5050,32,3,2026-03-30,880000.0,806000.0,19,10.32,46162.94,Approved,,Low,2026-04-19,Active
37,5710,7,4,2026-04-21,2294000.0,2290000.0,167,11.49,27533.6,Approved,,Low,2026-05-05,Active
38,1735,31,6,2024-06-07,410000.0,,63,,,Rejected,Unverifiable Employment,,,NA
39,180,19,6,2025-06-16,1193000.0,895000.0,25,11.08,40255.04,Approved,,Low,2025-07-04,Active
40,4250,31,5,2024-05-01,618000.0,,24,,,Rejected,Low Credit Score,,,NA
41,239,12,1,2024-02-26,2474000.0,2336000.0,185,9.51,24110.1,Approved,,Medium,2024-03-13,Defaulted
42,992,25,5,2026-05-14,579000.0,570000.0,19,8.29,32115.29,Approved,,Low,2026-05-18,Active
43,5027,33,1,2024-08-02,2698000.0,2364000.0,323,9.65,20557.23,Approved,,High,2024-08-18,Closed
44,4176,14,6,2025-05-25,425000.0,,68,,,Rejected,Unverifiable Employment,,,NA
45,627,9,2,2024-11-06,305000.0,294000.0,38,16.49,9983.73,Approved,,Medium,2024-11-17,Closed
46,1794,6,1,2025-07-18,6872000.0,5963000.0,286,9.16,51352.55,Approved,,Low,2025-08-06,Active
47,4398,18,4,2024-02-04,437000.0,380000.0,135,10.05,4710.31,Approved,,High,2024-02-08,Active
48,5877,9,4,2024-10-26,968000.0,741000.0,76,10.31,13317.57,Approved,,Low,2024-11-05,Active
49,76,7,5,2025-02-16,144000.0,142000.0,29,8.39,5426.76,Approved,,Low,2025-03-02,Closed
50,3716,3,3,2026-01-06,567000.0,,13,,,Rejected,Unverifiable Employment,,,NA
51,1476,40,1,2026-04-24,2480000.0,,296,,,Rejected,Insufficient Income,,,NA
52,4201,50,1,2024-10-16,1923000.0,,80,,,Rejected,High Debt-to-Income Ratio,,,NA
53,2153,5,1,2024-01-26,5515000.0,4338000.0,281,8.71,36235.02,Approved,,Medium,2024-02-13,Active
54,1809,42,3,2023-09-15,450000.0,423000.0,83,10.93,7285.35,Approved,,High,2023-09-19,Closed
55,2195,3,5,2024-10-03,319000.0,,32,,,Pending,,,,NA
56,3815,17,3,2026-04-09,779000.0,,64,,,Rejected,High Debt-to-Income Ratio,,,NA
57,5384,13,6,2025-04-18,177000.0,142000.0,75,12.42,2731.62,Approved,,Medium,2025-05-02,Closed
58,650,39,3,2024-11-28,491000.0,385000.0,78,11.71,7073.33,Approved,,High,2024-12-08,Closed
59,55,14,5,2025-12-17,183000.0,,16,,,Rejected,High Debt-to-Income Ratio,,,NA
60,223,2,5,2026-06-07,127000.0,,13,,,Rejected,Unverifiable Employment,,,NA
61,5218,10,2,2024-03-28,734000.0,,58,,,Rejected,Low Credit Score,,,NA
62,4070,6,2,2023-12-23,60000.0,47000.0,56,12.06,1101.6,Approved,,High,2023-12-27,Active
63,3440,44,2,2026-06-08,696000.0,563000.0,29,16.21,23593.21,Approved,,High,2026-06-28,Defaulted
64,2631,28,6,2024-03-11,388000.0,330000.0,80,15.21,6587.88,Approved,,Low,2024-03-25,Closed
65,2366,50,4,2025-10-25,2249000.0,,140,,,Pending,,,,NA
66,2329,18,3,2025-02-23,623000.0,560000.0,40,11.76,16990.44,Approved,,Medium,2025-03-09,Closed
67,3678,42,4,2026-05-08,1780000.0,1522000.0,74,10.98,28401.03,Approved,,Low,2026-05-23,Active
68,2113,11,6,2024-06-18,1772000.0,1651000.0,57,14.8,40500.39,Approved,,Low,2024-07-06,Closed
69,446,39,2,2025-07-05,832000.0,763000.0,26,13.76,34104.43,Approved,,Low,2025-07-14,Closed
70,5565,42,4,2025-10-17,1647000.0,1635000.0,117,11.9,23676.76,Approved,,Medium,2025-11-05,Active
71,1091,10,5,2023-08-20,203000.0,,29,,,Withdrawn,,,,NA
72,2372,26,2,2023-12-28,813000.0,773000.0,47,10.79,20238.89,Approved,,Low,2024-01-14,Closed
73,4244,18,6,2025-11-04,1072000.0,,78,,,Rejected,Unverifiable Employment,,,NA
74,4312,29,1,2025-03-05,1984000.0,1570000.0,250,9.65,14596.1,Approved,,Medium,2025-03-26,Closed
75,4492,19,4,2024-11-01,1167000.0,,104,,,Rejected,Low Credit Score,,,NA
76,5189,24,2,2024-06-30,1037000.0,864000.0,58,13.47,20348.83,Approved,,Medium,2024-07-19,Active
77,3059,14,3,2024-02-20,1105000.0,955000.0,16,12.46,65091.4,Approved,,Medium,2024-03-09,Active
78,5676,28,2,2023-10-08,482000.0,,48,,,Rejected,Existing Default History,,,NA
79,5838,22,1,2025-06-16,2567000.0,2155000.0,132,9.69,26603.73,Approved,,High,2025-06-19,Active
80,1194,41,5,2024-01-04,301000.0,261000.0,15,8.09,18353.15,Approved,,Low,2024-01-18,Active
81,3449,48,3,2025-09-05,781000.0,698000.0,68,12.45,14358.86,Approved,,Low,2025-09-16,Active
